Table 1: Approved Canada Emergency Wage Subsidy (CEWS) Claims by Province/Territory of Business Address,,,,,,,,
,,,,,,,,
Claim Period,Province or Territory,Applications Approved Since Launch,Number of Eligible Employees (Line A),Number of Eligible Employees on Leave with Pay (Line AA),Number of Employees Supported by the Program (Line A + Line AA),CEWS Amount Approved Since Launch,Average CEWS Amount per Employee,Percent Distribution of Approved Applications for Each Claim Period
"P11: December 20, 2020 to January 16, 2021",Nova Scotia,4700,80600,1880,82480,65090000,789,0.02
"P11: December 20, 2020 to January 16, 2021",New Brunswick,4570,70210,160,70370,51902000,738,0.02
"P11: December 20, 2020 to January 16, 2021",Quebec,58020,990200,12890,1003080,720417000,718,0.24
"P11: December 20, 2020 to January 16, 2021",Ontario,88350,1708490,16520,1725010,1336723000,775,0.37
"P11: December 20, 2020 to January 16, 2021",Manitoba,6420,119720,700,120420,137693000,1143,0.03
"P11: December 20, 2020 to January 16, 2021",Saskatchewan,6570,89370,730,90100,75981000,843,0.03
"P11: December 20, 2020 to January 16, 2021",Alberta,35100,550710,6870,557580,562480000,1009,0.15
"P11: December 20, 2020 to January 16, 2021",British Columbia,34090,512390,4630,517020,442360000,856,0.14
"P11: December 20, 2020 to January 16, 2021",Yukon,180,3070,-,3070,2898000,944,0
"P11: December 20, 2020 to January 16, 2021",Northwest Territories,160,2290,-,2290,2359000,1030,0
"P11: December 20, 2020 to January 16, 2021",Nunavut,50,810,20,830,698000,841,0
"P11: December 20, 2020 to January 16, 2021",Missing,350,57260,840,58100,26638000,458,0
"P11: December 20, 2020 to January 16, 2021",All Canada,241990,4231350,45420,4276770,3462751000,810,1
"P12: January 17, 2021 to February 13, 2021",Newfoundland and Labrador,2370,31960,90,32050,27472000,857,0.01
"P12: January 17, 2021 to February 13, 2021",Prince Edward Island,940,13170,10,13190,10045000,762,0
"P12: January 17, 2021 to February 13, 2021",Nova Scotia,4470,78300,1970,80260,63333000,789,0.02
"P12: January 17, 2021 to February 13, 2021",New Brunswick,4550,67750,120,67870,52153000,768,0.02
"P12: January 17, 2021 to February 13, 2021",Quebec,60350,992310,9260,1001570,877119000,876,0.25
"P12: January 17, 2021 to February 13, 2021",Ontario,88540,1662920,21370,1684290,1444259000,857,0.36
"P12: January 17, 2021 to February 13, 2021",Manitoba,6420,117750,530,118280,134358000,1136,0.03
"P12: January 17, 2021 to February 13, 2021",Saskatchewan,6390,86110,1020,87120,74386000,854,0.03
"P12: January 17, 2021 to February 13, 2021",Alberta,35370,562640,6250,568890,584885000,1028,0.15
"P12: January 17, 2021 to February 13, 2021",British Columbia,33140,496690,4390,501080,437477000,873,0.14
"P12: January 17, 2021 to February 13, 2021",Yukon,170,3020,-,3030,2828000,933,0
"P12: January 17, 2021 to February 13, 2021",Northwest Territories,150,2340,-,2350,2509000,1068,0
"P12: January 17, 2021 to February 13, 2021",Nunavut,40,750,20,770,632000,821,0
"P12: January 17, 2021 to February 13, 2021",Missing,350,51340,330,51670,28701000,555,0
"P12: January 17, 2021 to February 13, 2021",All Canada,243250,4167050,45360,4212410,3740158000,888,1
"P13: February 14, 2021 to March 13, 2021",Newfoundland and Labrador,2570,34660,160,34820,31110000,893,0.01
"P13: February 14, 2021 to March 13, 2021",Prince Edward Island,930,13330,20,13340,9624000,721,0
"P13: February 14, 2021 to March 13, 2021",Nova Scotia,4330,76220,2090,78310,59990000,766,0.02
"P13: February 14, 2021 to March 13, 2021",New Brunswick,4510,66910,120,67020,52099000,777,0.02
"P13: February 14, 2021 to March 13, 2021",Quebec,58790,998260,7690,1005960,881364000,876,0.24
"P13: February 14, 2021 to March 13, 2021",Ontario,89530,1750250,14100,1764340,1522950000,863,0.37
"P13: February 14, 2021 to March 13, 2021",Manitoba,6340,122240,440,122680,134506000,1096,0.03
"P13: February 14, 2021 to March 13, 2021",Saskatchewan,6240,82740,920,83660,68008000,813,0.03
"P13: February 14, 2021 to March 13, 2021",Alberta,34800,553270,5700,558970,576252000,1031,0.14
"P13: February 14, 2021 to March 13, 2021",British Columbia,32430,504560,3920,508480,435346000,856,0.13
"P13: February 14, 2021 to March 13, 2021",Yukon,170,3090,-,3090,2380000,770,0
"P13: February 14, 2021 to March 13, 2021",Northwest Territories,140,2340,-,2340,2242000,958,0
"P13: February 14, 2021 to March 13, 2021",Nunavut,40,810,20,830,699000,842,0
"P13: February 14, 2021 to March 13, 2021",Missing,350,57880,340,58210,30014000,516,0
"P13: February 14, 2021 to March 13, 2021",All Canada,241170,4266540,35510,4302050,3806584000,885,1
"P14: March 14, 2021 to April 10, 2021",Newfoundland and Labrador,2580,36790,100,36880,35750000,969,0.01
"P14: March 14, 2021 to April 10, 2021",Prince Edward Island,880,13380,40,13420,10088000,752,0
"P14: March 14, 2021 to April 10, 2021",Nova Scotia,4220,73340,2160,75500,59510000,788,0.02
"P14: March 14, 2021 to April 10, 2021",New Brunswick,4200,66090,110,66200,57710000,872,0.02
"P14: March 14, 2021 to April 10, 2021",Quebec,53210,912860,7820,920680,742951000,807,0.23
